id,name,lastname,price,flycode,typePassenger,statusFlight
1,Brade,Rojas,20000.000000,MM0987B,FirstClass,En Horario
2,Gayle,Soto,30000.000000,MM0987B,FirstClass,En Horario
3,Kimberlee,Contreras,33000.000000,BA2491A,FirstClass,Aterrizado
4,Henrieta,Silva,30000.000000,IB0800A,FirstClass,Aterrizado
5,Brandea,Morales,15000.000000,IB0800A,FirstClass,Aterrizado
6,Bronnie,Fuentes,20000.000000,MM0987B,FirstClass,En Horario
7,Iver,Torres,12000.000000,BA2491A,FirstClass,Aterrizado
8,Ernesta,Araya,37000.000000,BA2491A,FirstClass,Aterrizado
9,Cirillo,Flores,50000.000000,MM0987B,FirstClass,En Horario
10,Park,Espinoza,30000.000000,MM0987B,FirstClass,En Horario
11,Bellanca,Valenzuela,15000.000000,BA2491A,FirstClass,Aterrizado
12,Bobbye,Castillo,15000.000000,BA2491A,FirstClass,Aterrizado
13,Eugene,Tapia,50000.000000,BA2491A,FirstClass,Aterrizado
14,Johnny,Reyes,33000.000000,MM0987B,FirstClass,En Horario
15,Braden,Castro,25000.000000,MM0987B,FirstClass,En Horario
16,Karim,Pizarro,25000.000000,MM0987B,FirstClass,En Horario
17,Katey,Carrasco,42000.000000,MM0987B,FirstClass,En Horario
18,Jehanna,Herrera,50000.000000,BA2491A,FirstClass,Aterrizado
19,Stefa,Jara,42000.000000,BA2491A,FirstClass,Aterrizado
20,Roda,Vergara,25000.000000,MM0987B,FirstClass,En Horario
21,Alfredo,Rivera,10000.000000,MM0987B,FirstClass,En Horario
22,Sydney,Figueroa,10000.000000,MM0987B,FirstClass,En Horario
23,Brnaba,Riquelme,30000.000000,MM0987B,FirstClass,En Horario
24,Bradney,Miranda,25000.000000,BA2491A,ExecutiveClass,Aterrizado
25,Margarete,Bravo,50000.000000,BA2491A,ExecutiveClass,Aterrizado
26,Nikoletta,Vera,50000.000000,MM0987B,FirstClass,En Horario
27,Lonnard,Molina,50000.000000,IB0800A,FirstClass,Aterrizado
28,Raine,Vega,30000.000000,IB0800A,FirstClass,Aterrizado
29,Noella,Campos,15000.000000,IB0800A,FirstClass,Aterrizado
30,Dagmar,Sandoval,25000.000000,IB0800A,FirstClass,Aterrizado
31,Carroll,Orellana,42000.000000,IB0800A,FirstClass,Aterrizado
32,Carline,Olivares,12000.000000,IB0800A,FirstClass,Aterrizado
33,Julina,Gallardo,33000.000000,MM0987B,FirstClass,En Horario
34,Corina,Ortiz,37000.000000,MM0987B,FirstClass,En Horario
35,Bernardine,Garrido,33000.000000,MM0987B,FirstClass,En Horario
36,Homer,Salazar,18000.000000,MM0987B,FirstClass,En Horario
37,Kori,Saavedra,50000.000000,MM0987B,FirstClass,En Horario
38,Deeyn,Navarro,20000.000000,MM0987B,FirstClass,En Horario
39,Marysa,Aguilera,20000.000000,MM0987B,FirstClass,En Horario
40,Loy,Parra,15000.000000,MM0987B,FirstClass,En Horario
41,Gabbey,Romero,37000.000000,MM0987B,FirstClass,En Horario
42,Star,Aravena,33000.000000,MM0987B,FirstClass,En Horario
43,Dominica,Vargas,33000.000000,IB0800A,FirstClass,Aterrizado
44,Sayre,Leiva,33000.000000,IB0800A,FirstClass,Aterrizado
45,Shaughn,Escobar,15000.000000,IB0800A,FirstClass,Aterrizado
46,Katrine,Ruiz,25000.000000,IB0800A,FirstClass,Aterrizado
47,Cristie,Vidal,25000.000000,IB0800A,ExecutiveClass,Aterrizado
48,Solomon,Salinas,10000.000000,IB0800A,ExecutiveClass,Aterrizado
49,Morse,Godoy,25000.000000,IB0800A,ExecutiveClass,Aterrizado
50,Roland,Lagos,25000.000000,IB0800A,ExecutiveClass,Aterrizado
51,Jesselyn,Maldonado,30000.000000,IB0800A,ExecutiveClass,Aterrizado
52,Kylila,Bustos,12000.000000,IB0800A,ExecutiveClass,Aterrizado
53,Kendre,Medina,25000.000000,IB0800A,ExecutiveClass,Aterrizado
54,Lesya,Pino,15000.000000,IB0800A,ExecutiveClass,Aterrizado
55,Tatiania,Palma,20000.000000,IB0800A,ExecutiveClass,Aterrizado
56,Trenton,Moreno,12000.000000,IB0800A,ExecutiveClass,Aterrizado
57,Angie,Sanhueza,20000.000000,MM0987B,FirstClass,En Horario
58,Joelle,Carvajal,37000.000000,MM0987B,FirstClass,En Horario
59,George,Navarrete,30000.000000,MM0987B,ExecutiveClass,En Horario
60,Margaretha,Alvarado,10000.000000,MM0987B,ExecutiveClass,En Horario
61,Sully,Donoso,15000.000000,MM0987B,ExecutiveClass,En Horario
62,Lonni,Poblete,50000.000000,MM0987B,ExecutiveClass,En Horario
63,Nicky,Bustamante,42000.000000,MM0987B,ExecutiveClass,En Horario
64,My,Toro,18000.000000,MM0987B,ExecutiveClass,En Horario
65,Kyrstin,Ortega,37000.000000,IB0800A,ExecutiveClass,Aterrizado
66,Martino,Venegas,15000.000000,IB0800A,ExecutiveClass,Aterrizado
67,Marcellus,Guerrero,50000.000000,IB0800A,ExecutiveClass,Aterrizado
68,Jacquelin,Mendoza,30000.000000,IB0800A,ExecutiveClass,Aterrizado
69,Petey,Ruiz,15000.000000,IB0800A,ExecutiveClass,Aterrizado
70,Freddie,Moreno,12000.000000,IB0800A,ExecutiveClass,Aterrizado
71,Cherrita,Romero,33000.000000,MM0987B,ExecutiveClass,En Horario
72,Stu,Alonso,12000.000000,MM0987B,ExecutiveClass,En Horario
73,Lorettalorna,Navarro,25000.000000,MM0987B,ExecutiveClass,En Horario
74,Patrizio,Torres,15000.000000,IB0800A,ExecutiveClass,Aterrizado
75,Pen,Ramos,18000.000000,IB0800A,EconomyClass,Aterrizado
76,Cindelyn,Rojas,12000.000000,IB0800A,EconomyClass,Aterrizado
77,Omero,Soto,10000.000000,BA2491A,ExecutiveClass,Aterrizado
78,Tom,Contreras,33000.000000,BA2491A,ExecutiveClass,Aterrizado
79,Dante,Silva,30000.000000,BA2491A,ExecutiveClass,Aterrizado
80,Dunstan,Morales,20000.000000,BA2491A,ExecutiveClass,Aterrizado
81,Brynn,Fuentes,50000.000000,BA2491A,ExecutiveClass,Aterrizado
82,Corbin,Torres,42000.000000,BA2491A,ExecutiveClass,Aterrizado
83,Coreen,Araya,18000.000000,IB0800A,EconomyClass,Aterrizado
84,Tanya,Flores,30000.000000,IB0800A,EconomyClass,Aterrizado
85,Jenna,Espinoza,25000.000000,IB0800A,EconomyClass,Aterrizado
86,Flora,Valenzuela,33000.000000,IB0800A,EconomyClass,Aterrizado
87,Dianna,Castillo,20000.000000,IB0800A,EconomyClass,Aterrizado
88,Armand,Tapia,15000.000000,IB0800A,EconomyClass,Aterrizado
89,Gustie,Reyes,42000.000000,IB0800A,EconomyClass,Aterrizado
90,Lena,Castro,25000.000000,IB0800A,EconomyClass,Aterrizado
91,Dot,Pizarro,18000.000000,IB0800A,EconomyClass,Aterrizado
92,Tanny,Carrasco,42000.000000,IB0800A,EconomyClass,Aterrizado
93,Kipp,Herrera,15000.000000,IB0800A,EconomyClass,Aterrizado
94,Ferdie,Jara,15000.000000,IB0800A,EconomyClass,Aterrizado
95,Ofella,Vergara,50000.000000,IB0800A,EconomyClass,Aterrizado
96,Pascale,Rivera,15000.000000,IB0800A,EconomyClass,Aterrizado
97,Cathrin,Figueroa,30000.000000,IB0800A,EconomyClass,Aterrizado
98,Sib,Riquelme,33000.000000,IB0800A,EconomyClass,Aterrizado
99,Didi,Miranda,15000.000000,IB0800A,EconomyClass,Aterrizado
100,Lodovico,Bravo,18000.000000,IB0800A,EconomyClass,Aterrizado
101,Farley,Vera,12000.000000,IB0800A,EconomyClass,Aterrizado
102,Devi,Molina,25000.000000,IB0800A,EconomyClass,Aterrizado
103,Clair,Vega,37000.000000,IB0800A,EconomyClass,Aterrizado
104,Addy,Campos,33000.000000,IB0800A,EconomyClass,Aterrizado
105,Brandon,Sandoval,18000.000000,IB0800A,EconomyClass,Aterrizado
106,Prentiss,Orellana,30000.000000,IB0800A,EconomyClass,Aterrizado
107,Wanids,Olivares,30000.000000,MM0987B,ExecutiveClass,En Horario
108,Mellicent,Gallardo,50000.000000,MM0987B,ExecutiveClass,En Horario
109,Lynea,Ortiz,20000.000000,MM0987B,ExecutiveClass,En Horario
110,Nial,Garrido,15000.000000,MM0987B,ExecutiveClass,En Horario
111,Guillaume,Salazar,37000.000000,MM0987B,ExecutiveClass,En Horario
112,Eric,Saavedra,50000.000000,MM0987B,ExecutiveClass,En Horario
113,Marcellus,Navarro,30000.000000,MM0987B,ExecutiveClass,En Horario
114,Ian,Aguilera,42000.000000,MM0987B,ExecutiveClass,En Horario
115,Sebastien,Parra,37000.000000,MM0987B,ExecutiveClass,En Horario
116,Scarface,Romero,50000.000000,MM0987B,ExecutiveClass,En Horario
117,Maible,Aravena,18000.000000,MM0987B,ExecutiveClass,En Horario
118,Waldon,Vargas,30000.000000,MM0987B,ExecutiveClass,En Horario
119,Philipa,Leiva,42000.000000,TU6789B,FirstClass,Aterrizado
120,Roderigo,Escobar,20000.000000,BA2491A,ExecutiveClass,Aterrizado
121,Otho,Ruiz,20000.000000,BA2491A,ExecutiveClass,Aterrizado
122,Eleonora,Vidal,42000.000000,BA2491A,EconomyClass,Aterrizado
123,Eliot,Salinas,12000.000000,BA2491A,EconomyClass,Aterrizado
124,Yorke,Godoy,15000.000000,BA2491A,EconomyClass,Aterrizado
125,Cissiee,Lagos,18000.000000,BA2491A,EconomyClass,Aterrizado
126,Jillana,Maldonado,18000.000000,BA2491A,EconomyClass,Aterrizado
127,Mallorie,Bustos,30000.000000,TU6789B,FirstClass,Aterrizado
128,Borden,Medina,12000.000000,TU6789B,FirstClass,Aterrizado
129,Maddie,Pino,33000.000000,TU6789B,FirstClass,Aterrizado
130,Weider,Palma,50000.000000,TU6789B,FirstClass,Aterrizado
131,Asia,Moreno,37000.000000,TU6789B,FirstClass,Aterrizado
132,Sayres,Sanhueza,10000.000000,TU6789B,FirstClass,Aterrizado
133,Marcile,Carvajal,30000.000000,TU6789B,FirstClass,Aterrizado
134,Thomasina,Navarrete,42000.000000,TU6789B,FirstClass,Aterrizado
135,Nicolina,Alvarado,30000.000000,TU6789B,FirstClass,Aterrizado
136,Nita,Donoso,12000.000000,TU6789B,FirstClass,Aterrizado
137,Nikoletta,Poblete,12000.000000,TU6789B,FirstClass,Aterrizado
138,Dwight,Bustamante,42000.000000,TU6789B,FirstClass,Aterrizado
139,Romola,Toro,50000.000000,TU6789B,FirstClass,Aterrizado
140,Kaile,Ortega,33000.000000,TU6789B,FirstClass,Aterrizado
141,Mozes,Venegas,25000.000000,TU6789B,FirstClass,Aterrizado
142,Aylmer,Guerrero,33000.000000,TU6789B,FirstClass,Aterrizado
143,Marina,Mendoza,12000.000000,TU6789B,FirstClass,Aterrizado
144,Hiram,Ruiz,20000.000000,BA2491A,EconomyClass,Aterrizado
145,Leeanne,Moreno,15000.000000,TU6789B,FirstClass,Aterrizado
146,Alexandra,Romero,42000.000000,TU6789B,FirstClass,Aterrizado
147,Broddie,Alonso,42000.000000,TU6789B,ExecutiveClass,Aterrizado
148,Cal,Navarro,42000.000000,TU6789B,ExecutiveClass,Aterrizado
149,Donal,Torres,18000.000000,TU6789B,ExecutiveClass,Aterrizado
150,Maynard,Ramos,18000.000000,TU6789B,ExecutiveClass,Aterrizado
151,Jenna,Rojas,30000.000000,TU6789B,ExecutiveClass,Aterrizado
152,Morris,Soto,10000.000000,BA2491A,EconomyClass,Aterrizado
153,Yuri,Contreras,25000.000000,BA2491A,EconomyClass,Aterrizado
154,Gusty,Silva,10000.000000,BA2491A,EconomyClass,Aterrizado
155,Merrile,Morales,50000.000000,BA2491A,EconomyClass,Aterrizado
156,Melisa,Fuentes,12000.000000,TU6789B,ExecutiveClass,Aterrizado
157,Stephen,Torres,37000.000000,TU6789B,ExecutiveClass,Aterrizado
158,Blair,Araya,50000.000000,TU6789B,ExecutiveClass,Aterrizado
159,Arel,Flores,30000.000000,TU6789B,ExecutiveClass,Aterrizado
160,Abbie,Espinoza,25000.000000,TU6789B,ExecutiveClass,Aterrizado
161,Channa,Valenzuela,50000.000000,TU6789B,ExecutiveClass,Aterrizado
162,Shirl,Castillo,20000.000000,TU6789B,ExecutiveClass,Aterrizado
163,Edlin,Tapia,20000.000000,TU6789B,ExecutiveClass,Aterrizado
164,Larina,Reyes,18000.000000,TU6789B,ExecutiveClass,Aterrizado
165,Bond,Castro,10000.000000,TU6789B,ExecutiveClass,Aterrizado
166,Dyann,Pizarro,50000.000000,TU6789B,ExecutiveClass,Aterrizado
167,Koenraad,Carrasco,20000.000000,TU6789B,ExecutiveClass,Aterrizado
168,Osbert,Herrera,15000.000000,TU6789B,ExecutiveClass,Aterrizado
169,Bartel,Jara,37000.000000,TU6789B,ExecutiveClass,Aterrizado
170,Jodi,Vergara,30000.000000,BA2491A,EconomyClass,Aterrizado
171,Ofelia,Rivera,30000.000000,BA2491A,EconomyClass,Aterrizado
172,Dudley,Figueroa,42000.000000,BA2491A,EconomyClass,Aterrizado
173,Dulcea,Riquelme,25000.000000,BA2491A,EconomyClass,Aterrizado
174,Chalmers,Miranda,10000.000000,BA2491A,EconomyClass,Aterrizado
175,Christiano,Bravo,50000.000000,BA2491A,EconomyClass,Aterrizado
176,Russell,Vera,50000.000000,BA2491A,EconomyClass,Aterrizado
177,Cleo,Molina,50000.000000,BA2491A,EconomyClass,Aterrizado
178,Catriona,Vega,42000.000000,TU6789B,ExecutiveClass,Aterrizado
179,Leigh,Campos,37000.000000,TU6789B,ExecutiveClass,Aterrizado
180,Ddene,Sandoval,12000.000000,TU6789B,ExecutiveClass,Aterrizado
181,Sayre,Orellana,18000.000000,TU6789B,EconomyClass,Aterrizado
182,Zabrina,Olivares,12000.000000,TU6789B,EconomyClass,Aterrizado
183,Ron,Gallardo,20000.000000,TU6789B,EconomyClass,Aterrizado
184,Charin,Ortiz,12000.000000,TU6789B,EconomyClass,Aterrizado
185,Coleman,Garrido,33000.000000,TU6789B,EconomyClass,Aterrizado
186,Jacinda,Salazar,50000.000000,TU6789B,EconomyClass,Aterrizado
187,Davide,Saavedra,42000.000000,TU6789B,EconomyClass,Aterrizado
188,Ernestus,Navarro,12000.000000,TU6789B,EconomyClass,Aterrizado
189,Brnaba,Aguilera,37000.000000,TU6789B,EconomyClass,Aterrizado
190,Tabor,Parra,37000.000000,TU6789B,EconomyClass,Aterrizado
191,Lenci,Romero,42000.000000,TU6789B,EconomyClass,Aterrizado
